iter	Logloss
0	0.3971306723
1	0.2946036254
2	0.2493986168
3	0.2208247295
4	0.1992267576
5	0.1909183386
6	0.1865789178
7	0.1821358593
8	0.1781043064
9	0.1769551857
10	0.1753006079
11	0.1745550773
12	0.1741760884
13	0.1739328928
14	0.1731774552
15	0.1731400906
16	0.1729827542
17	0.1726697445
18	0.1724257396
19	0.1723140988
20	0.1720386665
21	0.1716361215
22	0.1713331291
23	0.1711976202
24	0.171082701
25	0.1706595979
26	0.1705340347
27	0.1702986598
28	0.1700225089
29	0.1692310073
30	0.168852951
31	0.168625314
32	0.1685275049
33	0.1681705593
34	0.1680572201
35	0.1675713002
36	0.1673712075
37	0.1672266294
38	0.1671229549
39	0.1670705341
40	0.1665352492
41	0.1664022368
42	0.1662476299
43	0.1660744864
44	0.1660165923
45	0.1658757032
46	0.1658294371
47	0.1657527213
48	0.1656481398
49	0.1654887079
50	0.1653919624
51	0.1650787077
52	0.1646276609
53	0.1643456403
54	0.1641392555
55	0.1639130495
56	0.1637719749
57	0.163613174
58	0.1634803358
59	0.1634610557
60	0.1633044494
61	0.1632276035
62	0.1631948825
63	0.1631578682
64	0.163105621
65	0.1630028673
66	0.162812544
67	0.1626898474
68	0.1626365207
69	0.1625097966
70	0.1624012055
71	0.1623664339
72	0.1620907048
73	0.1619563364
74	0.1618071613
75	0.1617106879
76	0.1612826817
77	0.1610089125
78	0.1606190892
79	0.1605303268
80	0.1604584583
81	0.16021775
82	0.1601131186
83	0.1598239527
84	0.1596451598
85	0.1595135781
86	0.1594716979
87	0.1592539894
88	0.1590220765
89	0.1589259096
90	0.1588282686
91	0.1584705972
92	0.158245564
93	0.1580138456
94	0.1578334867
95	0.1576558296
96	0.1576379433
97	0.1575234274
98	0.1573903554
99	0.1573082735
