iter	Passed	Remaining
0	16	1602
1	26	1286
2	42	1371
3	54	1309
4	71	1360
5	87	1372
6	103	1377
7	119	1377
8	137	1389
9	151	1361
10	164	1330
11	176	1296
12	191	1282
13	205	1260
14	220	1250
15	229	1206
16	239	1167
17	253	1157
18	269	1148
19	285	1140
20	301	1134
21	320	1135
22	345	1155
23	360	1142
24	371	1114
25	383	1090
26	398	1077
27	415	1067
28	428	1049
29	442	1032
30	454	1012
31	476	1012
32	493	1002
33	509	988
34	522	970
35	535	952
36	555	946
37	575	939
38	588	920
39	598	897
40	616	887
41	638	881
42	647	857
43	660	840
44	674	824
45	687	807
46	695	784
47	709	768
48	721	750
49	730	730
50	743	714
51	756	698
52	767	680
53	778	663
54	791	647
55	804	632
56	816	615
57	831	601
58	849	590
59	860	573
60	875	559
61	892	547
62	906	532
63	918	516
64	937	504
65	958	493
66	986	485
67	1002	471
68	1016	456
69	1031	441
70	1041	425
71	1058	411
72	1074	397
73	1098	385
74	1112	370
75	1134	358
76	1149	343
77	1169	329
78	1198	318
79	1235	308
80	1285	301
81	1320	289
82	1350	276
83	1367	260
84	1385	244
85	1405	228
86	1422	212
87	1440	196
88	1462	180
89	1479	164
90	1507	149
91	1544	134
92	1576	118
93	1609	102
94	1647	86
95	1675	69
96	1702	52
97	1732	35
98	1748	17
99	1772	0
