iter	Passed	Remaining
0	19	1889
1	39	1918
2	52	1694
3	73	1770
4	88	1683
5	99	1558
6	114	1522
7	128	1474
8	141	1432
9	155	1395
10	166	1343
11	181	1327
12	195	1309
13	209	1288
14	222	1259
15	236	1243
16	247	1207
17	268	1225
18	280	1194
19	293	1175
20	309	1162
21	322	1142
22	334	1120
23	343	1087
24	357	1071
25	370	1053
26	383	1036
27	399	1027
28	408	1000
29	422	985
30	436	971
31	449	954
32	457	929
33	471	915
34	483	897
35	494	878
36	509	866
37	525	857
38	539	843
39	550	826
40	572	823
41	581	802
42	596	790
43	608	774
44	621	759
45	631	741
46	644	727
47	658	713
48	671	698
49	680	680
50	694	666
51	707	652
52	719	638
53	732	623
54	748	612
55	758	596
56	772	582
57	787	570
58	801	556
59	811	541
60	828	529
61	841	515
62	857	503
63	873	491
64	888	478
65	903	465
66	922	454
67	944	444
68	961	432
69	976	418
70	988	403
71	1002	389
72	1021	377
73	1037	364
74	1053	351
75	1065	336
76	1080	322
77	1091	307
78	1103	293
79	1119	279
80	1138	267
81	1177	258
82	1222	250
83	1265	241
84	1302	229
85	1331	216
86	1349	201
87	1366	186
88	1382	170
89	1396	155
90	1409	139
91	1424	123
92	1441	108
93	1451	92
94	1479	77
95	1510	62
96	1533	47
97	1558	31
98	1591	16
99	1619	0
